User ID,Age,Gender,Height,Interests,Looking For,Children,Education Level,Occupation,Swiping History,Frequency of Usage
1,24,Female,5.95,"['Reading', 'Sports', 'Travel']",Long-term Relationship,No,High School,Business Owner,82,Daily
2,28,Female,5.33,"['Reading', 'Hiking', 'Cooking']",Friendship,No,Master's Degree,Entrepreneur,29,Daily
3,18,Female,5.61,['Cooking'],Long-term Relationship,No,High School,Social Media Influencer,58,Daily
4,33,Male,5.46,"['Cooking', 'Reading', 'Sports']",Friendship,Maybe,Ph.D.,Business Owner,63,Weekly
5,26,Female,5.1,"['Reading', 'Movies', 'Sports']",Long-term Relationship,Maybe,Ph.D.,Engineer,7,Daily
6,31,Male,5.26,"['Movies', 'Music']",Friendship,Yes,Master's Degree,Artist,3,Daily
7,35,Female,5.45,"['Sports', 'Travel']",Friendship,Yes,Bachelor's Degree,Entrepreneur,14,Daily
8,30,Male,5.3,['Cooking'],Casual Dating,No,Bachelor's Degree,Student,87,Weekly
9,25,Female,5.01,"['Movies', 'Travel', 'Sports']",Casual Dating,Maybe,Bachelor's Degree,Student,4,Monthly
10,26,Female,5.86,"['Movies', 'Cooking']",Casual Dating,Maybe,Bachelor's Degree,Teacher,87,Weekly
11,29,Female,5.27,"['Reading', 'Travel', 'Movies']",Casual Dating,Maybe,High School,Business Owner,77,Monthly
12,30,Male,5.03,"['Music', 'Movies', 'Hiking']",Casual Dating,No,Ph.D.,Doctor,93,Daily
13,24,Male,5.54,['Travel'],Long-term Relationship,No,Ph.D.,Business Owner,58,Weekly
14,19,Female,5.81,['Travel'],Casual Dating,Yes,Ph.D.,Doctor,43,Weekly
15,30,Male,5.3,"['Travel', 'Cooking']",Long-term Relationship,Maybe,High School,Teacher,36,Weekly
16,27,Female,5.24,"['Reading', 'Music', 'Hiking']",Friendship,No,Ph.D.,Student,61,Monthly
17,29,Female,5.7,"['Hiking', 'Cooking', 'Reading']",Casual Dating,No,High School,Entrepreneur,80,Weekly
18,19,Female,5.41,"['Travel', 'Hiking', 'Sports']",Casual Dating,No,High School,Social Media Influencer,1,Daily
19,19,Female,5.4,"['Hiking', 'Travel', 'Movies']",Long-term Relationship,No,High School,Doctor,58,Daily
20,20,Female,5.33,"['Hiking', 'Sports', 'Music']",Friendship,Maybe,Bachelor's Degree,Social Media Influencer,19,Weekly
21,26,Male,5.4,"['Movies', 'Sports', 'Music']",Friendship,No,Bachelor's Degree,Doctor,56,Daily
22,27,Male,5.23,"['Sports', 'Movies']",Long-term Relationship,No,Ph.D.,Doctor,1,Monthly
23,20,Female,5.89,['Travel'],Long-term Relationship,Maybe,High School,Entrepreneur,35,Monthly
24,20,Female,5.1,"['Hiking', 'Movies', 'Cooking']",Casual Dating,No,Master's Degree,Entrepreneur,81,Weekly
25,20,Female,5.99,['Reading'],Long-term Relationship,No,Master's Degree,Engineer,47,Weekly
26,25,Male,5.72,['Sports'],Long-term Relationship,Maybe,Bachelor's Degree,Teacher,21,Daily
27,23,Female,5.39,"['Sports', 'Reading']",Long-term Relationship,Maybe,Bachelor's Degree,Artist,20,Weekly
28,32,Female,5.86,['Cooking'],Long-term Relationship,Maybe,Ph.D.,Social Media Influencer,63,Weekly
29,34,Female,5.94,['Travel'],Friendship,No,Master's Degree,Social Media Influencer,36,Monthly
30,34,Female,5.97,"['Hiking', 'Sports', 'Cooking']",Long-term Relationship,No,Ph.D.,Business Owner,84,Daily
31,18,Female,5.49,"['Travel', 'Sports']",Casual Dating,Yes,Bachelor's Degree,Teacher,57,Monthly
32,31,Female,5.21,"['Music', 'Hiking', 'Travel']",Friendship,Maybe,Master's Degree,Business Owner,26,Weekly
33,34,Female,5.7,"['Reading', 'Hiking', 'Cooking']",Friendship,Maybe,High School,Artist,25,Monthly
34,30,Female,5.51,['Hiking'],Long-term Relationship,No,Ph.D.,Student,7,Monthly
35,34,Female,5.04,"['Reading', 'Travel', 'Sports']",Friendship,Maybe,Ph.D.,Engineer,96,Monthly
36,29,Female,5.62,"['Movies', 'Reading']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,54,Daily
37,33,Male,5.97,"['Cooking', 'Movies']",Friendship,Maybe,High School,Entrepreneur,62,Weekly
38,18,Male,5.25,"['Music', 'Travel']",Friendship,No,Ph.D.,Engineer,0,Monthly
39,24,Female,5.55,"['Hiking', 'Reading']",Casual Dating,Maybe,Bachelor's Degree,Doctor,25,Weekly
40,22,Female,5.01,"['Reading', 'Movies']",Long-term Relationship,No,Bachelor's Degree,Student,93,Monthly
41,22,Female,5.02,"['Cooking', 'Reading']",Long-term Relationship,No,Bachelor's Degree,Doctor,32,Weekly
42,22,Male,5.05,"['Hiking', 'Sports']",Casual Dating,Yes,Ph.D.,Business Owner,9,Weekly
43,18,Female,5.66,"['Cooking', 'Sports', 'Hiking']",Friendship,No,Ph.D.,Entrepreneur,31,Monthly
44,29,Female,5.57,['Music'],Casual Dating,No,Bachelor's Degree,Social Media Influencer,100,Weekly
45,18,Male,5.65,"['Hiking', 'Sports', 'Cooking']",Long-term Relationship,No,High School,Doctor,94,Weekly
46,35,Male,5.34,"['Movies', 'Reading']",Long-term Relationship,No,Master's Degree,Artist,89,Weekly
47,26,Male,5.12,['Hiking'],Friendship,No,Bachelor's Degree,Engineer,35,Weekly
48,21,Female,5.42,"['Cooking', 'Reading', 'Music']",Casual Dating,Maybe,Ph.D.,Doctor,81,Daily
49,20,Female,5.33,"['Cooking', 'Reading', 'Movies']",Casual Dating,No,Bachelor's Degree,Entrepreneur,56,Daily
50,27,Female,5.06,"['Movies', 'Hiking', 'Travel']",Friendship,No,Bachelor's Degree,Business Owner,92,Weekly
51,35,Male,5.14,"['Music', 'Movies']",Friendship,No,High School,Teacher,6,Weekly
52,25,Female,5.4,"['Music', 'Hiking', 'Cooking']",Friendship,Yes,High School,Engineer,36,Daily
53,25,Female,5.86,"['Cooking', 'Movies']",Long-term Relationship,No,Bachelor's Degree,Business Owner,88,Weekly
54,21,Female,5.71,"['Music', 'Sports', 'Reading']",Casual Dating,Yes,Bachelor's Degree,Social Media Influencer,73,Monthly
55,24,Female,5.49,['Travel'],Friendship,Yes,Master's Degree,Doctor,91,Monthly
56,26,Male,5.75,['Sports'],Long-term Relationship,Yes,High School,Business Owner,24,Monthly
57,23,Male,5.96,['Cooking'],Long-term Relationship,No,High School,Business Owner,20,Daily
58,18,Male,5.7,"['Movies', 'Sports', 'Music']",Long-term Relationship,Maybe,High School,Social Media Influencer,11,Monthly
59,33,Female,5.39,['Music'],Long-term Relationship,Yes,Ph.D.,Doctor,89,Weekly
60,35,Female,5.08,['Movies'],Long-term Relationship,Maybe,Master's Degree,Business Owner,16,Weekly
61,30,Female,5.27,['Music'],Friendship,Maybe,High School,Teacher,81,Weekly
62,22,Male,5.92,"['Movies', 'Hiking']",Long-term Relationship,Yes,Master's Degree,Social Media Influencer,4,Daily
63,18,Female,5.81,"['Movies', 'Sports', 'Reading']",Casual Dating,Maybe,High School,Artist,62,Weekly
64,27,Male,5.25,"['Travel', 'Reading']",Casual Dating,Yes,High School,Social Media Influencer,44,Weekly
65,18,Male,5.76,"['Hiking', 'Sports']",Long-term Relationship,Maybe,Ph.D.,Business Owner,25,Weekly
66,20,Male,5.31,['Hiking'],Friendship,No,Master's Degree,Teacher,56,Weekly
67,32,Male,5.76,['Music'],Friendship,Yes,Bachelor's Degree,Social Media Influencer,37,Weekly
68,19,Female,5.61,"['Cooking', 'Music']",Friendship,Maybe,Bachelor's Degree,Social Media Influencer,62,Weekly
69,27,Female,5.84,['Reading'],Long-term Relationship,No,Master's Degree,Teacher,52,Weekly
70,22,Female,5.28,['Sports'],Friendship,No,Master's Degree,Student,4,Weekly
71,31,Female,5.13,"['Travel', 'Reading']",Casual Dating,Maybe,High School,Artist,46,Weekly
72,32,Female,5.87,"['Hiking', 'Reading', 'Movies']",Long-term Relationship,No,High School,Artist,35,Monthly
73,31,Female,5.72,"['Hiking', 'Cooking']",Friendship,Maybe,Ph.D.,Social Media Influencer,6,Monthly
74,31,Male,5.53,['Movies'],Friendship,Yes,Master's Degree,Social Media Influencer,14,Daily
75,22,Female,5.02,['Travel'],Casual Dating,Maybe,Master's Degree,Artist,43,Daily
76,19,Male,5.75,['Movies'],Long-term Relationship,Maybe,Master's Degree,Student,100,Daily
77,19,Male,5.36,['Hiking'],Friendship,No,High School,Student,52,Daily
78,26,Male,5.05,"['Sports', 'Hiking', 'Reading']",Long-term Relationship,No,Ph.D.,Entrepreneur,94,Monthly
79,28,Female,5.01,"['Cooking', 'Sports']",Casual Dating,Yes,Ph.D.,Teacher,50,Monthly
80,21,Male,5.2,['Sports'],Long-term Relationship,Maybe,High School,Artist,13,Daily
81,22,Male,5.55,"['Reading', 'Music']",Casual Dating,Yes,Ph.D.,Student,62,Weekly
82,29,Female,5.12,"['Travel', 'Movies', 'Cooking']",Casual Dating,Yes,Ph.D.,Social Media Influencer,34,Monthly
83,25,Male,5.8,"['Cooking', 'Reading']",Long-term Relationship,Yes,Bachelor's Degree,Engineer,36,Monthly
84,31,Female,5.91,['Music'],Casual Dating,Yes,High School,Artist,39,Weekly
85,25,Female,5.9,['Movies'],Friendship,No,Bachelor's Degree,Business Owner,14,Weekly
86,34,Male,5.39,"['Cooking', 'Hiking']",Friendship,No,Ph.D.,Entrepreneur,50,Weekly
87,23,Female,5.33,"['Movies', 'Travel', 'Music']",Long-term Relationship,Yes,Ph.D.,Doctor,14,Monthly
88,18,Female,5.74,"['Cooking', 'Movies', 'Travel']",Long-term Relationship,No,Master's Degree,Student,96,Weekly
89,18,Female,5.2,"['Reading', 'Hiking']",Friendship,No,Bachelor's Degree,Artist,96,Daily
90,30,Male,5.38,['Music'],Long-term Relationship,Maybe,High School,Entrepreneur,4,Weekly
91,22,Female,5.18,"['Music', 'Movies']",Long-term Relationship,Yes,Master's Degree,Entrepreneur,22,Weekly
92,31,Male,5.15,['Music'],Long-term Relationship,Yes,Master's Degree,Student,96,Daily
93,28,Female,5.1,['Sports'],Long-term Relationship,No,Ph.D.,Business Owner,91,Weekly
94,26,Female,5.08,"['Cooking', 'Travel']",Long-term Relationship,No,Master's Degree,Social Media Influencer,22,Daily
95,25,Male,5.4,['Sports'],Casual Dating,No,Master's Degree,Doctor,56,Daily
96,26,Male,5.4,['Movies'],Friendship,Maybe,Master's Degree,Artist,6,Daily
97,23,Male,5.91,['Cooking'],Casual Dating,Maybe,Bachelor's Degree,Teacher,25,Daily
98,34,Male,5.98,['Sports'],Casual Dating,Yes,Master's Degree,Doctor,62,Monthly
99,34,Male,5.6,['Sports'],Friendship,Maybe,Bachelor's Degree,Social Media Influencer,55,Monthly
100,34,Male,5.38,"['Reading', 'Travel', 'Sports']",Friendship,No,Master's Degree,Social Media Influencer,46,Weekly
101,27,Female,5.9,"['Travel', 'Hiking']",Long-term Relationship,No,Bachelor's Degree,Business Owner,91,Monthly
102,31,Female,5.86,"['Cooking', 'Hiking', 'Music']",Long-term Relationship,No,Master's Degree,Engineer,13,Weekly
103,33,Female,5.01,"['Cooking', 'Movies', 'Travel']",Casual Dating,Maybe,High School,Social Media Influencer,18,Weekly
104,35,Female,5.91,['Reading'],Long-term Relationship,Maybe,Master's Degree,Business Owner,1,Weekly
105,29,Female,5.62,"['Movies', 'Travel']",Long-term Relationship,Yes,High School,Artist,52,Daily
106,29,Female,5.11,"['Music', 'Cooking']",Long-term Relationship,Maybe,Master's Degree,Business Owner,95,Weekly
107,34,Female,5.74,"['Travel', 'Music']",Casual Dating,No,Bachelor's Degree,Student,21,Monthly
108,21,Female,5.53,['Travel'],Friendship,Maybe,High School,Social Media Influencer,69,Monthly
109,27,Female,5.5,"['Music', 'Cooking']",Casual Dating,No,High School,Teacher,75,Daily
110,24,Female,5.91,"['Sports', 'Reading']",Casual Dating,Yes,Master's Degree,Teacher,63,Weekly
111,28,Male,5.08,"['Music', 'Hiking', 'Travel']",Friendship,No,High School,Social Media Influencer,39,Weekly
112,21,Male,5.72,"['Music', 'Travel', 'Sports']",Friendship,Yes,Bachelor's Degree,Business Owner,23,Monthly
113,22,Female,5.21,"['Reading', 'Travel', 'Sports']",Long-term Relationship,Maybe,Bachelor's Degree,Doctor,80,Weekly
114,30,Male,5.33,"['Sports', 'Music']",Friendship,No,High School,Student,39,Monthly
115,23,Female,5.1,['Cooking'],Long-term Relationship,Maybe,Bachelor's Degree,Student,60,Monthly
116,34,Male,5.09,"['Cooking', 'Travel', 'Movies']",Long-term Relationship,Maybe,High School,Student,86,Monthly
117,33,Female,5.98,"['Music', 'Cooking']",Casual Dating,Maybe,Bachelor's Degree,Artist,25,Daily
118,27,Female,5.93,"['Music', 'Cooking', 'Hiking']",Friendship,No,Master's Degree,Artist,6,Daily
119,30,Female,5.88,"['Music', 'Movies', 'Sports']",Long-term Relationship,Yes,Bachelor's Degree,Business Owner,38,Weekly
120,34,Female,5.79,['Sports'],Casual Dating,Yes,High School,Entrepreneur,41,Monthly
121,19,Male,5.46,"['Reading', 'Movies']",Friendship,Maybe,Bachelor's Degree,Engineer,12,Weekly
122,20,Male,6,['Travel'],Friendship,No,High School,Teacher,56,Weekly
123,29,Male,5.4,"['Sports', 'Travel']",Casual Dating,Maybe,Bachelor's Degree,Doctor,4,Weekly
124,34,Male,5.47,"['Travel', 'Cooking']",Friendship,Yes,Master's Degree,Engineer,24,Weekly
125,31,Male,5.43,['Cooking'],Casual Dating,Maybe,Master's Degree,Engineer,60,Weekly
126,23,Male,5.88,"['Music', 'Travel']",Long-term Relationship,Maybe,Master's Degree,Engineer,97,Daily
127,26,Male,5.96,"['Cooking', 'Music']",Casual Dating,No,Master's Degree,Business Owner,86,Monthly
128,20,Female,5.46,['Cooking'],Long-term Relationship,No,Bachelor's Degree,Student,72,Monthly
129,27,Male,5.33,['Hiking'],Casual Dating,Maybe,Bachelor's Degree,Artist,87,Daily
130,23,Female,5.7,"['Travel', 'Music']",Friendship,Yes,High School,Doctor,47,Weekly
131,22,Male,5.85,['Hiking'],Long-term Relationship,Yes,High School,Social Media Influencer,57,Weekly
132,25,Female,5.54,['Music'],Casual Dating,No,Master's Degree,Entrepreneur,18,Monthly
133,18,Male,5.87,['Reading'],Casual Dating,Maybe,High School,Student,52,Weekly
134,23,Female,5.16,"['Reading', 'Movies', 'Music']",Casual Dating,Yes,High School,Social Media Influencer,30,Monthly
135,29,Male,5.19,['Hiking'],Friendship,Maybe,High School,Student,16,Daily
